date,district,commodity,level,price_rp_kg,price_mean,price_std,obs_count,rolling_med,rolling_std,z_score,spike,supply_ndvi_anomaly,supply_evi_anomaly,supply_ndvi,local_ndvi_anomaly,local_evi_anomaly,local_ndvi,rainfall_mm,min_distance_km,min_travel_hrs,supply_ndvi_lag1,local_ndvi_lag1,rain_lag1,supply_ndvi_lag2,local_ndvi_lag2,rain_lag2,supply_ndvi_lag3,local_ndvi_lag3,rain_lag3,supply_ndvi_lag4,local_ndvi_lag4,rain_lag4,rain_4wk_sum,supply_ndvi_4wk_trend,month,is_wet_season,flood_risk,flood_risk_lag1,stress_x_distance,price_lag1,price_pct_change
2023-01-16,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,37000.0,37000.0,0.0,5,35750.0,2179.449471770338,0.5735393346764042,0,-0.009015556274760323,-0.016682693931614347,0.7941020487954804,0.021505123139927647,-0.11049561144486979,0.8233021080247447,96.23903124965368,75.0,2.0,-0.009015556274760323,0.021505123139927647,88.3529565881994,-0.009015556274760323,0.021505123139927647,85.98096606990494,,,88.14565748899477,,,,358.7186113967528,,1,1,0,0.0,-0.6761667206070242,37000.0,0.0
2023-01-23,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,37000.0,37000.0,0.0,5,37000.0,2043.281674170256,0.0,0,0.024332385668628276,-0.07332120353718911,0.8503638792439648,-0.06491596111417541,-0.05249604247104247,0.7902384471817842,74.25951884307757,75.0,2.0,-0.009015556274760323,0.021505123139927647,96.23903124965368,-0.009015556274760323,0.021505123139927647,88.3529565881994,-0.009015556274760323,0.021505123139927647,85.98096606990494,,,88.14565748899477,344.83247275083556,0.010004382583016577,1,1,0,0.0,-0.6761667206070242,37000.0,0.0
2023-01-30,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,37000.0,37000.0,0.0,5,37000.0,1914.8542155126768,0.0,0,0.024332385668628276,-0.07332120353718911,0.8503638792439648,-0.06491596111417541,-0.05249604247104247,0.7902384471817842,45.59050721774567,75.0,2.0,0.024332385668628276,-0.06491596111417541,74.25951884307757,-0.009015556274760323,0.021505123139927647,96.23903124965368,-0.009015556274760323,0.021505123139927647,88.3529565881994,-0.009015556274760323,0.021505123139927647,85.98096606990494,304.4420138986763,0.01333917677735544,1,1,0,0.0,-0.6761667206070242,37000.0,0.0
2023-02-06,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,38000.0,37600.0,547.7225575051652,5,37000.0,1930.3342913056476,0.5180449855261162,0,0.001981562654711813,-0.06314264072422912,0.8088079261898358,-0.027708103530967098,-0.11543737621486491,0.8062702776533485,25.20088760265786,75.0,2.0,0.024332385668628276,-0.06491596111417541,45.59050721774567,0.024332385668628276,-0.06491596111417541,74.25951884307757,-0.009015556274760323,0.021505123139927647,96.23903124965368,-0.009015556274760323,0.021505123139927647,88.3529565881994,241.28994491313478,0.003299135678841644,2,1,0,0.0,1.8249289251471206,37000.0,0.02702702702702703
2023-02-13,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,38000.0,38000.0,0.0,5,37000.0,1903.9432764659769,0.5252257314388903,0,0.001981562654711813,-0.06314264072422912,0.8088079261898358,-0.027708103530967098,-0.11543737621486491,0.8062702776533485,86.45214639280651,75.0,2.0,0.001981562654711813,-0.027708103530967098,25.20088760265786,0.024332385668628276,-0.06491596111417541,45.59050721774567,0.024332385668628276,-0.06491596111417541,74.25951884307757,-0.009015556274760323,0.021505123139927647,96.23903124965368,231.5030600562876,-0.008940329205566583,2,1,0,0.0,1.8249289251471206,38000.0,0.0
2023-02-20,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,33500.0,34700.0,1680.7736313971611,5,37000.0,1625.6866681058632,-2.152936398302359,0,-0.03306016568288138,0.035368017103788715,0.783663581245228,-0.04409735734715693,0.09219357823856318,0.7379363241828628,72.7239829035868,75.0,2.0,0.001981562654711813,-0.027708103530967098,86.45214639280651,0.001981562654711813,-0.027708103530967098,25.20088760265786,0.024332385668628276,-0.06491596111417541,45.59050721774567,0.024332385668628276,-0.06491596111417541,74.25951884307757,229.96752411679682,-0.017217765405452896,2,1,0,0.0,0.14861719910338597,38000.0,-0.11842105263157894
2023-02-27,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,33500.0,33500.0,0.0,5,37000.0,1827.3712579237183,-1.915319607235556,0,-0.03306016568288138,0.035368017103788715,0.783663581245228,-0.04409735734715693,0.09219357823856318,0.7379363241828628,44.657071990520784,75.0,2.0,-0.03306016568288138,-0.04409735734715693,72.7239829035868,0.001981562654711813,-0.027708103530967098,86.45214639280651,0.001981562654711813,-0.027708103530967098,25.20088760265786,0.024332385668628276,-0.06491596111417541,45.59050721774567,229.03408888957196,-0.014016691335037273,2,1,0,0.0,0.14861719910338597,33500.0,0.0
2023-03-06,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,34500.0,34300.0,447.2135954999584,5,37000.0,1916.7960618848165,-1.3042597747940434,0,0.010510823957208024,-0.07044684482853754,0.8048625482272405,-0.014885772077573774,-0.040423838269260076,0.7835501910452574,27.05048980594829,75.0,2.0,-0.03306016568288138,-0.04409735734715693,44.657071990520784,-0.03306016568288138,-0.04409735734715693,72.7239829035868,0.001981562654711813,-0.027708103530967098,86.45214639280651,0.001981562654711813,-0.027708103530967098,25.20088760265786,230.8836910928624,0.0025587783907488576,3,1,0,0.0,-2.4795124262161035,33500.0,0.029850746268656716
2023-03-13,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,34500.0,34100.0,547.7225575051662,5,35750.0,1945.691210268033,-0.6424452109375585,0,0.010510823957208024,-0.07044684482853754,0.8048625482272405,-0.014885772077573774,-0.040423838269260076,0.7835501910452574,84.54508227921582,75.0,2.0,0.010510823957208024,-0.014885772077573774,27.05048980594829,-0.03306016568288138,-0.04409735734715693,44.657071990520784,-0.03306016568288138,-0.04409735734715693,72.7239829035868,0.001981562654711813,-0.027708103530967098,86.45214639280651,228.9766269792717,0.017428395856035755,3,1,0,0.0,-2.4795124262161035,34500.0,0.0
2023-03-20,Kota Lubuk Linggau,Bawang Merah Ukuran Sedang,2,33500.0,33500.0,0.0,5,34500.0,2016.6715859837675,-0.4958665590124743,0,0.010510823957208024,-0.07044684482853754,0.8048625482272405,-0.014885772077573774,-0.040423838269260076,0.7835501910452574,102.67014125682302,75.0,2.0,0.010510823957208024,-0.014885772077573774,84.54508227921582,0.010510823957208024,-0.014885772077573774,27.05048980594829,-0.03306016568288138,-0.04409735734715693,44.657071990520784,-0.03306016568288138,-0.04409735734715693,72.7239829035868,258.9227853325079,0.013071296892026825,3,1,1,0.0,0.7883117967906018,34500.0,-0.028985507246376812
